K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3540851696518095	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.728040627107675	0.0	0.5140404040404041
1000	10	10	S-NW	2.3540851696518095	1.0101010101010102	0.01
1000	10	10	SAA	2.3431548453437543	0.0	-1.0
1000	10	10	S-SAA	2.32234848655028	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.9172727272727272
1000	10	10	HS-NW	2.32234848655028	1.0101010101010102	0.9172727272727272
1000	10	10	NWbar	2.7461238660944023	0.0	0.5140404040404041
1000	10	10	S-NW	2.32234848655028	1.0101010101010102	0.01
1000	10	10	SAA	2.3951906019824865	0.0	-1.0
1000	10	10	S-SAA	2.3723774115661946	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3723774115661946	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	3.357431983101143	0.0	0.5644444444444444
1000	10	10	S-NW	2.3723774115661946	1.0101010101010102	0.01
1000	10	10	SAA	2.331348292632593	0.0	-1.0
1000	10	10	S-SAA	2.3165726673742566	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3165726673742566	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.722107876494317	0.0	0.5140404040404041
1000	10	10	S-NW	2.3165726673742566	1.0101010101010102	0.01
1000	10	10	SAA	2.363620267160644	0.0	-1.0
1000	10	10	S-SAA	2.353666689166397	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.353666689166397	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.35201405229279	0.0	0.4636363636363636
1000	10	10	S-NW	2.353666689166397	1.0101010101010102	0.01
1000	10	10	SAA	2.387579859643232	0.0	-1.0
1000	10	10	S-SAA	2.3655290741196815	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3655290741196815	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	3.3422270365568747	0.0	0.5644444444444444
1000	10	10	S-NW	2.3655290741196815	1.0101010101010102	0.01
1000	10	10	SAA	2.342854748535567	0.0	-1.0
1000	10	10	S-SAA	2.3405246127942676	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3405246127942676	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	3.3419291440668797	0.0	0.5644444444444444
1000	10	10	S-NW	2.3405246127942676	1.0101010101010102	0.01
1000	10	10	SAA	2.337717239039187	0.0	-1.0
1000	10	10	S-SAA	2.30489884346001	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.30489884346001	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	3.9178747742865108	0.0	0.6148484848484849
1000	10	10	S-NW	2.30489884346001	1.0101010101010102	0.01
1000	10	10	SAA	2.3376452914750936	0.0	-1.0
1000	10	10	S-SAA	2.3232491412461647	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.3232491412461647	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.724497670112547	0.0	0.5140404040404041
1000	10	10	S-NW	2.3232491412461647	1.0101010101010102	0.01
1000	10	10	SAA	2.389186887798939	0.0	-1.0
1000	10	10	S-SAA	2.3758897576592735	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3758897576592735	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.3743407028079107	0.0	0.4636363636363636
1000	10	10	S-NW	2.3758897576592735	1.0101010101010102	0.01
1000	10	10	SAA	2.349594851938896	0.0	-1.0
1000	10	10	S-SAA	2.3192358433684515	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3192358433684515	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.7108872053552755	0.0	0.5140404040404041
1000	10	10	S-NW	2.3192358433684515	1.0101010101010102	0.01
1000	10	10	SAA	2.3612494154895636	0.0	-1.0
1000	10	10	S-SAA	2.3474246194310995	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3474246194310995	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.3519017525511767	0.0	0.4636363636363636
1000	10	10	S-NW	2.3474246194310995	1.0101010101010102	0.01
1000	10	10	SAA	2.3902739040005763	0.0	-1.0
1000	10	10	S-SAA	2.346894429022247	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.346894429022247	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.3498402681545407	0.0	0.4636363636363636
1000	10	10	S-NW	2.346894429022247	1.0101010101010102	0.01
1000	10	10	SAA	2.361703819406819	0.0	-1.0
1000	10	10	S-SAA	2.306110263425639	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.306110263425639	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.361703819406819	0.0	0.01
1000	10	10	S-NW	2.306110263425639	1.0101010101010102	0.01
1000	10	10	SAA	2.3287314697394654	0.0	-1.0
1000	10	10	S-SAA	2.3074363205091686	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.3074363205091686	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.3287314697394654	0.0	0.41323232323232323
1000	10	10	S-NW	2.3074363205091686	1.0101010101010102	0.01
1000	10	10	SAA	2.3777666819667838	0.0	-1.0
1000	10	10	S-SAA	2.35867943032745	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.35867943032745	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.3777666819667838	0.0	0.01
1000	10	10	S-NW	2.35867943032745	1.0101010101010102	0.01
1000	10	10	SAA	2.343015661594352	0.0	-1.0
1000	10	10	S-SAA	2.318276651801519	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.318276651801519	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.716834654297296	0.0	0.5140404040404041
1000	10	10	S-NW	2.318276651801519	1.0101010101010102	0.01
1000	10	10	SAA	2.386014274627596	0.0	-1.0
1000	10	10	S-SAA	2.3217545107276276	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3217545107276276	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.733603537755178	0.0	0.5140404040404041
1000	10	10	S-NW	2.3217545107276276	1.0101010101010102	0.01
1000	10	10	SAA	2.3652489661036333	0.0	-1.0
1000	10	10	S-SAA	2.356354144235103	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.9172727272727272
1000	10	10	HS-NW	2.356354144235103	1.0101010101010102	0.9172727272727272
1000	10	10	NWbar	3.3386733920551013	0.0	0.5644444444444444
1000	10	10	S-NW	2.356354144235103	1.0101010101010102	0.01
1000	10	10	SAA	2.3462372148835318	0.0	-1.0
1000	10	10	S-SAA	2.317298237408526	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.9172727272727272
1000	10	10	HS-NW	2.317298237408526	1.0101010101010102	0.9172727272727272
1000	10	10	NWbar	2.729125785970999	0.0	0.5140404040404041
1000	10	10	S-NW	2.317298237408526	1.0101010101010102	0.01
1000	10	10	SAA	2.3805241091624136	0.0	-1.0
1000	10	10	S-SAA	2.3635639815153664	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3635639815153664	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.725143506319078	0.0	0.5140404040404041
1000	10	10	S-NW	2.3635639815153664	1.0101010101010102	0.01
1000	10	10	SAA	2.351003812707181	0.0	-1.0
1000	10	10	S-SAA	2.3415291210854865	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3415291210854865	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.733372355728234	0.0	0.5140404040404041
1000	10	10	S-NW	2.3415291210854865	1.0101010101010102	0.01
1000	10	10	SAA	2.3821403466991904	0.0	-1.0
1000	10	10	S-SAA	2.3394593454846864	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3394593454846864	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.342613214210478	0.0	0.4636363636363636
1000	10	10	S-NW	2.3394593454846864	1.0101010101010102	0.01
1000	10	10	SAA	2.3899351993569904	0.0	-1.0
1000	10	10	S-SAA	2.362572048075228	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.362572048075228	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.7310056006516397	0.0	0.5140404040404041
1000	10	10	S-NW	2.362572048075228	1.0101010101010102	0.01
1000	10	10	SAA	2.4082456319673926	0.0	-1.0
1000	10	10	S-SAA	2.361688043868645	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.361688043868645	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.7447997215886706	0.0	0.5140404040404041
1000	10	10	S-NW	2.361688043868645	1.0101010101010102	0.01
1000	10	10	SAA	2.390259929090355	0.0	-1.0
1000	10	10	S-SAA	2.3433229986283295	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.3433229986283295	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.748051613122485	0.0	0.5140404040404041
1000	10	10	S-NW	2.3433229986283295	1.0101010101010102	0.01
1000	10	10	SAA	2.3529220792484065	0.0	-1.0
1000	10	10	S-SAA	2.302643481296214	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.302643481296214	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.734513261832795	0.0	0.5140404040404041
1000	10	10	S-NW	2.302643481296214	1.0101010101010102	0.01
1000	10	10	SAA	2.321503442359882	0.0	-1.0
1000	10	10	S-SAA	2.3151268145191244	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3151268145191244	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.7136088961444496	0.0	0.5140404040404041
1000	10	10	S-NW	2.3151268145191244	1.0101010101010102	0.01
1000	10	10	SAA	2.4286369257838243	0.0	-1.0
1000	10	10	S-SAA	2.3803564631896172	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3803564631896172	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.738840718021311	0.0	0.5140404040404041
1000	10	10	S-NW	2.3803564631896172	1.0101010101010102	0.01
1000	10	10	SAA	2.4147803298650694	0.0	-1.0
1000	10	10	S-SAA	2.365487557630561	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.365487557630561	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.7466773988087456	0.0	0.5140404040404041
1000	10	10	S-NW	2.365487557630561	1.0101010101010102	0.01
1000	10	10	SAA	2.387783316997124	0.0	-1.0
1000	10	10	S-SAA	2.3515661565575856	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.9172727272727272
1000	10	10	HS-NW	2.3515661565575856	1.0101010101010102	0.9172727272727272
1000	10	10	NWbar	2.344049892670307	0.0	0.4636363636363636
1000	10	10	S-NW	2.3515661565575856	1.0101010101010102	0.01
1000	10	10	SAA	2.303673406479195	0.0	-1.0
1000	10	10	S-SAA	2.296221361970115	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.296221361970115	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.7044149497927488	0.0	0.5140404040404041
1000	10	10	S-NW	2.296221361970115	1.0101010101010102	0.01
